Order_Number,CustomerKey,ProductKey,StoreKey,DateKey,Total_Amount,Quantity
387006,1616350,1576,51,252011,12.99,1
387007,549936,1264,24,252011,139.98,2
388000,97611,928,5,252034,203.94,6
388001,1730210,1616,0,252034,56.99,1
388002,962533,460,36,252034,599.80,2
388003,205077,90,10,252034,1199.92,8
388004,776431,618,0,252034,897.00,3
388005,1893487,1601,55,252034,639.96,4
388006,1098143,133,41,252034,349.95,1
388007,1112613,459,42,252034,1079.60,4
388008,1170323,96,41,252034,202.20,3
388009,930705,1585,40,252034,68.67,3
388010,1001228,827,39,252034,135.60,4
388011,1702898,50,61,252034,199.95,1
388012,2086544,69,50,252034,51.38,2
388013,1559552,1657,0,252034,179.99,1
388014,1671541,1586,57,252034,12.66,1
390000,1699570,1581,59,252071,219.00,1
390001,1301552,175,51,252071,233.80,2
390002,2029518,458,0,252071,229.90,1
390003,253233,1635,10,252071,22.89,1
390004,1321513,152,48,252071,2369.94,2
390005,549766,1558,22,252071,1140.00,3
391000,881876,143,32,252087,299.99,1
391001,361945,1841,0,252087,999.00,1
391002,1201225,1325,45,252087,39.99,1
391003,1427869,1280,44,252087,89.94,6
391004,444160,69,19,252087,154.14,6
391006,1885990,1467,51,252087,301.00,1
391007,125950,138,6,252087,499.99,1
392000,1302998,1490,51,252101,129.00,1
392001,1227891,155,54,252101,939.94,2
392002,1855347,144,59,252101,599.98,2
392003,1471397,156,0,252101,3759.76,8
392004,401785,1441,0,252101,400.00,2
392005,1458301,1050,48,252101,312.00,1
392006,1310403,149,65,252101,7109.82,6
392007,1079159,84,41,252101,499.95,5
392008,992150,1659,39,252101,779.97,3
392009,1724829,1387,54,252101,28.99,1
392010,651767,189,18,252101,1142.10,9
393001,530451,1157,19,252132,7900.00,5
393002,792110,662,28,252132,2124.00,9
393003,1188400,1608,38,252132,989.91,9
393004,2007813,415,0,252132,978.00,3
393005,1112419,175,39,252132,701.40,6
393006,1765324,417,51,252132,1198.00,2
393007,1206405,121,45,252132,119.99,1
393008,1823888,2038,57,252132,199.99,1
393009,1765579,2024,56,252132,94.99,1
393010,313968,1477,0,252132,534.00,2
394000,1736019,113,0,252156,999.96,4
394001,186894,519,5,252156,4952.00,8
394002,452923,1688,27,252156,17.76,2
394003,431461,326,27,252156,598.00,2
394004,602720,1138,16,252156,391.90,1
394005,1810401,174,65,252156,519.60,4
394006,1041067,1802,37,252156,192.00,6
394007,1337730,2077,63,252156,499.95,5
395000,829132,128,32,252173,573.60,4
395001,216550,1610,10,252173,289.99,1
395002,250944,105,8,252173,345.00,3
395003,1296866,2,54,252173,116.91,9
395004,2063107,1291,45,252173,733.10,2
395005,2082135,1589,54,252173,49.95,5
395006,127193,697,5,252173,294.00,2
395007,1714451,1603,54,252173,439.96,4
395008,1401419,128,61,252173,286.80,2
395009,731556,1156,29,252173,3200.00,2
395010,1549964,1076,55,252173,3185.00,5
395011,1114319,142,36,252173,599.98,2
395012,1418448,1313,65,252173,615.00,3
395014,1178352,1605,42,252173,2899.90,10
397000,1677739,1649,55,252203,2339.91,9
397001,1140654,390,37,252203,1299.00,1
397002,1348253,97,0,252203,134.80,2
397003,760816,955,29,252203,196.90,1
397004,1866421,123,0,252203,559.98,2
397005,1650783,1192,64,252203,6000.00,10
398000,1110229,1799,42,252222,26.00,1
398001,130214,374,5,252222,7794.00,6
398002,1822089,160,44,252222,4399.96,4
398003,1355155,31,51,252222,255.00,1
398004,1001493,70,36,252222,95.90,2
398005,1761462,424,63,252222,809.85,3
398006,857287,326,34,252222,299.00,1
398007,1042883,445,42,252222,2795.00,5
399000,1887449,1633,64,252249,69.45,5
399001,687377,1781,12,252249,430.00,10
399002,1476450,2054,51,252249,189.98,2
399003,1232687,93,59,252249,134.80,2
399004,822698,1058,0,252249,936.00,3
399006,1363203,361,65,252249,2723.00,7
399007,1191228,1543,38,252249,402.00,1
399009,784001,73,28,252249,287.70,6
399010,906625,1142,36,252249,391.90,1
400000,1883755,71,61,252270,191.80,4
400001,264640,1199,8,252270,1230.00,3
400002,363872,54,9,252270,296.00,1
400003,446883,164,27,252270,12737.60,8
400004,106880,180,5,252270,69.00,1
400005,2065817,1913,65,252270,2519.91,9
400006,1996959,1284,0,252270,74.97,3
400007,1987941,152,63,252270,5924.85,5
400009,1310047,1746,45,252270,218.00,2
400010,606808,965,0,252270,843.00,3
400011,1122248,458,37,252270,459.80,2
401002,1787415,156,48,252295,1879.88,4
401003,376977,34,8,252295,191.90,2
401004,1565847,667,47,252295,1140.00,6
401005,953489,58,41,252295,156.00,1
401007,1774119,1494,47,252295,624.00,3
402000,1086200,1315,37,252308,615.00,3
402001,732289,83,28,252308,199.98,2
402002,1673191,1602,47,252308,1259.93,7
402004,1906975,1134,54,252308,1595.00,5
402005,941746,153,39,252308,939.94,2
402006,1763642,146,64,252308,8699.97,3
402007,957784,1002,41,252308,444.00,3
402008,1427596,191,61,252308,198.00,3
402009,783691,154,30,252308,1879.88,4
402010,1653624,974,0,252308,444.00,3
402011,1730479,53,59,252308,592.00,2
402012,1392371,505,51,252308,4952.00,8
402013,729681,119,28,252308,119.99,1
404000,1258466,136,54,252338,1049.85,3
404001,495894,1635,22,252338,22.89,1
404002,1324963,166,57,252338,119.00,1
404004,368115,404,10,252338,1299.00,1
404005,295597,491,0,252338,619.00,1
405000,1548406,1683,47,252353,9.98,2
405001,1437592,375,50,252353,5592.00,8
405002,474309,126,27,252353,286.80,2
405003,582819,1302,24,252353,95.00,1
405005,39894,1608,0,252353,879.92,8
405006,622011,1599,17,252353,463.04,8
405007,1906549,1413,57,252353,598.00,2
406000,1533894,1134,50,252371,638.00,2
406001,1610147,100,0,252371,240.00,2
406002,1954639,64,47,252371,1267.00,7
406003,1310201,100,65,252371,360.00,3
406004,1389462,725,43,252371,190.00,1
406005,1883820,90,61,252371,449.97,3
406006,761306,62,29,252371,543.00,3
406007,1451764,1602,0,252371,359.98,2
406008,1827243,72,66,252371,191.80,4
406009,332217,537,8,252371,387.00,3
406010,490481,1593,20,252371,41.67,3
407000,526411,150,19,252406,3554.91,3
407001,993480,1008,37,252406,553.50,3
407002,1342915,1092,0,252406,5384.00,8
407003,960606,114,38,252406,249.99,1
407004,307767,1361,10,252406,249.95,5
407005,2043928,81,59,252406,243.30,6
407006,516663,957,27,252406,231.00,1
407007,224111,151,10,252406,1184.97,1
407009,367131,385,9,252406,326.00,1
407010,1380756,1580,0,252406,219.00,1
407011,1983649,146,50,252406,2899.99,1
408001,322186,1093,9,252438,3408.00,6
408002,1297155,1279,43,252438,44.97,3
408003,1716565,95,61,252438,67.40,1
408004,784296,1679,29,252438,11.00,2
408005,1788888,449,57,252438,2094.00,6
408006,1551319,157,61,252438,3299.97,3
408007,656387,654,14,252438,258.00,2
408008,326510,1707,10,252438,280.52,4
408010,1908175,115,47,252438,499.98,2
409000,1747015,120,64,252460,839.93,7
409001,1856221,161,0,252460,11145.40,7
409002,1959938,560,66,252460,1330.00,7
409003,919575,107,38,252460,930.93,7
409004,1303360,1037,53,252460,188.50,1
409005,1156077,1334,42,252460,71.98,2
409006,1345382,456,56,252460,559.00,1
409007,65163,1743,5,252460,56.00,2
409008,581812,47,20,252460,149.95,1
409009,824810,1576,32,252460,12.99,1
409010,1179746,2093,39,252460,1016.00,2
409011,471223,18,23,252460,329.85,3
409012,2044567,1243,57,252460,940.00,5
409013,1837049,336,64,252460,4194.00,6
409014,448232,451,19,252460,5590.00,10
409015,613693,1175,15,252460,820.00,2
409016,1451919,71,63,252460,143.85,3
409018,1083191,173,37,252460,179.80,2
409019,1157316,184,41,252460,99.00,1
409020,250944,1977,0,252460,493.00,1
409021,730203,1642,0,252460,57.88,1
409022,944448,1850,0,252460,6399.60,4
410000,1349131,1605,51,252510,289.99,1
410001,316485,425,10,252510,1476.00,4
411000,761306,148,30,252515,8699.97,3
411001,1796950,58,63,252515,312.00,2
411002,1965605,1616,0,252515,227.96,4
411003,1602459,86,65,252515,299.97,3
411004,1916734,64,61,252515,181.00,1
411005,211746,80,9,252515,40.55,1
411006,1627570,93,63,252515,539.20,8
411007,950191,72,39,252515,47.95,1
411009,676059,61,17,252515,181.00,1
411010,1942072,64,59,252515,362.00,2
411011,1909649,98,47,252515,600.00,5
412000,1611938,160,59,252551,3299.97,3
412001,1482513,444,43,252551,6433.00,7
412002,1845084,191,0,252551,264.00,4
412003,311493,2275,10,252551,101.99,1
412004,1076568,218,37,252551,4134.00,6
412005,1838833,740,0,252551,248.00,1
412006,375538,1655,10,252551,579.98,2
412007,213985,1280,9,252551,14.99,1
412008,950191,394,41,252551,4548.00,6
412009,1375827,1693,43,252551,41.28,6
412010,1428180,79,44,252551,81.10,2
412011,1698157,48,63,252551,149.95,1
412012,1813538,1168,57,252551,1200.00,2
412013,587649,145,24,252551,28999.90,10
412014,1474834,1650,53,252551,869.97,3
412015,1240530,124,57,252551,559.98,2
413001,1857461,1689,45,252595,49.80,10
413002,943159,1613,37,252595,329.97,3
413003,1049709,87,42,252595,99.99,1
413005,1437978,2011,64,252595,99.99,1
413007,986569,1588,40,252595,13.89,1
413008,703938,148,28,252595,2899.99,1
413009,1868588,1308,44,252595,112.00,4
413010,122511,1268,6,252595,99.92,2
413011,246888,1586,0,252595,88.62,7
413012,980266,1305,36,252595,204.00,3
413013,1737226,1115,55,252595,328.00,1
413014,1062632,65,37,252595,181.00,1
413015,200992,1779,9,252595,43.00,1
413016,366856,1636,8,252595,25.32,2
413017,1239489,76,59,252595,37.95,1
413018,643186,1582,17,252595,17.99,1
413020,2096292,1615,50,252595,289.99,1
413023,1461041,166,63,252595,357.00,3
414001,858760,50,31,252628,599.85,3
414002,1290284,1590,54,252628,137.34,6
414003,923165,56,37,252628,1776.00,6
414004,131976,2160,4,252628,1780.00,4
414005,1094291,1719,41,252628,140.26,2
414007,2055720,1295,50,252628,595.00,1
414008,1441384,1289,48,252628,389.95,5
414009,1568316,1438,66,252628,1740.00,6
414010,1279593,133,63,252628,349.95,1
414011,1952169,1626,51,252628,438.00,2
414012,368190,63,8,252628,724.00,4
414013,1771296,589,64,252628,4194.00,6
414014,1338452,1081,54,252628,568.00,1
414015,1849306,2250,0,252628,239.98,2
414016,574956,1672,0,252628,67.56,4
414017,728312,1073,30,252628,1176.00,2
414018,737327,361,30,252628,389.00,1
414020,1745187,967,56,252628,377.00,2
414021,544035,1763,19,252628,299.25,3
414022,328988,1034,10,252628,2320.00,8
414023,1749380,1654,65,252628,259.99,1
414024,1229784,2008,50,252628,199.99,1
415000,1676628,618,56,252680,897.00,3
415002,758321,1015,30,252680,400.00,2
415003,1870877,158,55,252680,1099.99,1
415004,1320851,124,63,252680,1399.95,5
415005,1592800,154,66,252680,469.97,1
415007,1599307,108,51,252680,132.99,1
415008,2026025,427,63,252680,1407.00,3
415009,402995,87,23,252680,799.92,8
415011,450041,421,23,252680,938.00,2
415012,390781,429,0,252680,1199.80,2
415014,70912,74,5,252680,75.90,2
415015,1379027,451,44,252680,559.00,1
415016,38613,1640,0,252680,68.67,3
415017,1162503,94,37,252680,67.40,1
416000,1566584,293,0,252713,499.00,1
416001,1076623,438,0,252713,2757.00,3
416002,1900678,72,43,252713,95.90,2
416003,916866,1191,40,252713,480.00,3
416004,1304093,1591,45,252713,101.28,8
416007,413117,182,0,252713,357.00,3
416008,757767,122,30,252713,1399.95,5
416009,1202046,65,0,252713,181.00,1
416010,1130812,356,42,252713,913.80,2
416011,1049861,947,37,252713,165.00,1
416012,446470,2152,0,252713,3300.00,2
416013,1548410,228,59,252713,269.90,1
416014,724534,1563,28,252713,536.00,2
416015,723572,146,0,252713,5799.98,2
416017,591028,206,27,252713,1138.00,2
416018,610264,1183,16,252713,9120.00,6
416019,2023185,1258,64,252713,79.98,2
416020,1119720,1597,38,252713,115.76,2
416021,1156460,428,42,252713,6783.00,7
416022,135020,454,6,252713,1619.40,6
416024,1382226,610,0,252713,436.00,4
416028,403860,1966,19,252713,899.97,3
416029,1833460,61,66,252713,362.00,2
416030,481077,2000,22,252713,474.95,5
417000,832272,140,33,252762,499.99,1
417001,241450,49,8,252762,599.85,3
418000,1258917,1641,44,252768,12.66,1
418001,990554,419,0,252768,1107.00,3
418002,2013268,460,0,252768,299.90,1
418003,1571124,670,55,252768,1960.00,10
418005,828017,1992,33,252768,699.95,5
418006,1789699,1593,61,252768,83.34,6
418007,724370,2104,0,252768,257.50,1
418008,927241,403,38,252768,3495.00,5
418009,1846024,1168,0,252768,2400.00,4
418011,1986927,2435,64,252768,179.96,4
418012,996031,1122,0,252768,996.00,3
418013,831657,737,32,252768,477.00,3
419000,1606675,46,47,252790,449.85,3
419001,1549412,1602,47,252790,539.97,3
419002,1725975,126,66,252790,430.20,3
419003,1575457,443,59,252790,349.00,1
419004,946857,100,0,252790,120.00,1
419005,1128295,1644,0,252790,347.28,6
419006,463947,1007,27,252790,281.00,1
419007,2030206,104,66,252790,115.00,1
419008,672896,138,18,252790,1999.96,4
419009,500332,145,24,252790,11599.96,4
419010,1275802,313,59,252790,807.00,3
419011,2015900,170,55,252790,218.00,2
419012,1013255,450,42,252790,2757.00,3
419013,625297,957,13,252790,924.00,4
419014,1921651,687,44,252790,209.00,1
419015,1658273,122,65,252790,1119.96,4
419016,1668828,434,50,252790,1198.00,2
420000,1583170,710,63,252831,605.00,5
420001,1782076,1827,55,252831,2652.00,1
420003,424546,47,0,252831,299.90,2
420005,1304549,78,44,252831,162.20,4
420006,679190,1600,16,252831,405.16,7
420007,2006644,305,64,252831,329.00,1
420008,325088,1377,8,252831,96.00,6
420009,277538,1671,9,252831,49.90,10
420010,2011796,147,44,252831,20299.93,7
420011,1699480,938,61,252831,99.00,1
420012,2037919,2091,0,252831,877.50,1
420013,473689,802,22,252831,15.50,1
420014,831657,106,33,252831,664.95,5
420015,1392224,1436,48,252831,258.00,1
420016,1209643,69,51,252831,25.69,1
420017,337695,1208,10,252831,1780.00,2
420018,1115485,1594,36,252831,39.96,4
420019,1157497,1485,41,252831,2070.00,9
420020,143278,19,4,252831,329.85,3
420021,944448,61,39,252831,362.00,2
421000,1003788,75,38,252888,151.80,4
421001,208556,1058,8,252888,936.00,3
421003,308410,1477,10,252888,534.00,2
421004,607841,1672,15,252888,84.45,5
421006,275718,118,8,252888,169.99,1
421008,217102,77,0,252888,37.95,1
421009,1886071,1446,44,252888,578.00,2
421010,1984649,1817,50,252888,128.00,4
421012,1558588,168,55,252888,1161.00,9
421014,1319610,28,0,252888,1399.30,7
421015,34850,1601,5,252888,639.96,4
421016,1332152,187,65,252888,259.80,2
421017,1068402,128,41,252888,1147.20,8
421019,1431767,136,53,252888,1049.85,3
421020,811912,115,31,252888,1499.94,6
421021,1918131,1427,45,252888,230.00,1
421022,1926067,1572,43,252888,173.97,3
422000,3002,169,4,252928,357.00,3
422001,543610,1687,23,252928,13.76,2
422002,350710,56,8,252928,592.00,2
422003,1886071,1693,44,252928,20.64,3
422004,972852,437,41,252928,1499.70,3
422005,1732661,127,61,252928,143.40,1
422006,910064,1749,40,252928,109.00,1
422007,3575,1419,5,252928,774.00,3
422008,1591998,1378,63,252928,88.00,4
422009,1912902,135,50,252928,3149.55,9
422010,1157063,410,41,252928,1299.00,1
422012,2065513,1342,44,252928,168.00,4
422013,330125,1489,10,252928,620.00,2
423001,255536,69,8,252956,154.14,6
423002,1716435,1187,53,252956,5950.00,7
423003,1969221,85,0,252956,99.99,1
423004,979318,1250,42,252956,119.98,2
423005,2055764,1170,50,252956,1899.00,3
423006,626560,545,12,252956,459.00,1
423007,1831518,1694,48,252956,26.64,3
423008,1112418,1010,37,252956,934.50,5
423009,1346611,1164,0,252956,360.00,2
423010,126852,309,6,252956,2994.00,6
423011,1388042,24,45,252956,199.90,1
423012,690042,131,14,252956,1000.00,5
423013,206717,2112,0,252956,1582.00,2
423014,1910016,1428,0,252956,536.00,2
423015,2031187,1648,0,252956,219.98,2
423016,1373708,1593,51,252956,27.78,2
423018,118540,180,4,252956,138.00,2
423019,908887,1571,37,252956,284.95,5
423020,1239780,518,53,252956,869.00,1
423021,517556,97,22,252956,67.40,1
424000,1668458,2010,0,252999,699.95,5
425000,1657885,309,0,253001,1497.00,3
425001,510088,189,0,253001,126.90,1
425002,1017264,1623,40,253001,438.00,2
425003,876454,1505,32,253001,2070.00,9
425004,784001,2074,28,253001,799.96,4
425005,333947,71,10,253001,47.95,1
425006,724534,50,28,253001,999.75,5
425007,932629,2511,38,253001,28.42,7
426000,256475,24,9,253018,599.70,3
426001,1178236,35,0,253018,575.70,6
426002,1737921,1371,59,253018,197.94,6
426003,695534,1198,12,253018,411.00,1
426004,1500391,144,0,253018,899.97,3
426005,1146045,1058,40,253018,624.00,2
426006,774742,154,30,253018,1409.91,3
426007,1680645,447,0,253018,459.80,2
427001,285421,423,8,253036,599.00,1
427002,952345,53,39,253036,2664.00,9
427003,1433628,56,61,253036,2368.00,8
427005,129494,32,2,253036,1275.00,5
427006,1490471,53,43,253036,296.00,1
427007,2037884,168,53,253036,129.00,1
427008,1410548,171,64,253036,693.00,7
427009,283881,1248,10,253036,449.91,9
427010,1391462,1597,53,253036,115.76,2
428000,1361042,1607,50,253062,179.99,1
428001,211746,2096,8,253062,1755.00,2
428002,948175,244,42,253062,1716.00,4
428003,1208558,979,65,253062,1967.00,7
428004,909339,1615,37,253062,2319.92,8
428005,1438477,179,63,253062,119.00,1
428007,710555,450,28,253062,1838.00,2
428009,12160,81,6,253062,283.85,7
428010,717070,100,30,253062,240.00,2
428011,1302636,167,57,253062,345.00,5
429001,1968675,459,59,253088,539.80,2
429002,1513963,1651,57,253088,159.99,1
429003,536368,91,24,253088,149.99,1
429004,1482039,78,43,253088,40.55,1
429005,1163780,48,36,253088,749.75,5
429006,1049326,28,0,253088,399.80,2
429007,789600,1120,28,253088,5913.00,9
430000,1736140,55,45,253103,296.00,1
430002,1389855,446,57,253103,879.80,4
430003,1478631,104,0,253103,115.00,1
430004,1230421,138,59,253103,1999.96,4
430005,1745076,639,0,253103,918.00,2
430006,1426096,374,61,253103,2598.00,2
430007,762959,1887,30,253103,2652.00,1
430008,2065524,183,59,253103,545.00,5
430009,397988,1671,9,253103,9.98,2
430010,259457,114,8,253103,1999.92,8
430012,1295537,50,50,253103,799.80,4
430013,1236256,2059,0,253103,799.92,8
430014,1853251,440,53,253103,659.85,3
432000,1199008,1335,37,253136,80.38,2
432001,239066,1293,10,253136,1190.00,2
432002,2041643,1182,45,253136,3120.00,2
432003,1729878,1647,0,253136,179.99,1
432004,1425386,108,55,253136,398.97,3
432005,554027,113,20,253136,999.96,4
433000,1762564,2263,48,253146,2712.00,8
433001,1778536,64,45,253146,362.00,2
433002,778498,1156,30,253146,4800.00,3
433003,1711283,60,54,253146,312.00,2
433004,1299894,424,0,253146,539.90,2
433005,1661166,1571,48,253146,56.99,1
